grade,substandard_description,substandard_id,direct_instructions,match_confidence,similarity_score,llm_explanation
5,Multiply two fractions.,CCSS.MATH.CONTENT.5.NF.B.4.A+5,Skill: Fractions | Problem Type: Adding and subtracting three fractions with different denominators | Sequence: 8,Low,0.234,
5,"Recognize that in a multi-digit number, each digit represents 10 times the digit to its right and 1/10 of the digit to its left.",CCSS.MATH.CONTENT.5.NBT.A.1+2,Skill: Decimals | Problem Type: Multiplying decimals: one-digit or two-digit factor times three-digit factor | Sequence: 3,Low,0.379,
5,Multiply a number by a power of ten.,CCSS.MATH.CONTENT.5.NBT.A.2+6,"Skill: Percent, Ratio, Probability | Problem Type: Determining a percent of a given number | Sequence: 2",Low,0.260,
5,Divide a number by a power of ten.,CCSS.MATH.CONTENT.5.NBT.A.2+7,"Skill: Percent, Ratio, Probability | Problem Type: Determining a percent of a given number | Sequence: 2",Low,0.260,
5,Order a list of decimal numbers.,CCSS.MATH.CONTENT.5.NBT.A.4+1,"Skill: Percent, Ratio, Probability | Problem Type: Determining a percent of a given number | Sequence: 2",Low,0.216,
5,Use place value understanding to round decimals to any place.,CCSS.MATH.CONTENT.5.NBT.A.4+2,Skill: Decimals | Problem Type: Rounding off decimals | Sequence: 5,Low,0.278,
5,Estimate sums or differences by rounding to the nearest whole number and then adding/subtracting.,CCSS.MATH.CONTENT.5.NBT.A.4+3,Skill: Decimals | Problem Type: Rounding off decimals | Sequence: 5,Low,0.380,
5,"Convert between standard, word and expanded form for multi-digit numbers.",CCSS.MATH.CONTENT.5.NBT.A.2+1,Skill: Decimals | Problem Type: Multiplying decimals: one-digit or two-digit factor times three-digit factor | Sequence: 3,Very Low,0.175,
5,Convert between place values using words.,CCSS.MATH.CONTENT.5.NBT.A.2+5,Skill: Pre-Algebra | Problem Type: Plot points on coordinate system given x and y values and reverse | Sequence: 1,Very Low,0.115,
5,Find the value of a given digit in a multigidit number.,CCSS.MATH.CONTENT.5.NBT.A.2+3,Skill: Fractions | Problem Type: Determining all factors of a given number | Sequence: 3,Low,0.279,
5,Convert between numbers into exponential form and multiplication expressions.,CCSS.MATH.CONTENT.5.NBT.A.2+2,Skill: Symbol Identification and Place Value | Problem Type: Reading and writing numerals between 10 million and 999 million | Sequence: 1,Very Low,0.116,
5,Divide multidigit numbers ending in zeros.,CCSS.MATH.CONTENT.5.NBT.B.7+8,"Skill: Decimals | Problem Type: Dividing: whole number divisor, zeros must be added to dividend after decimal point | Sequence: 9",Low,0.215,
5,Multiplify a whole number by a power of ten or the product of a single digit and a power of ten.,CCSS.MATH.CONTENT.5.NBT.A.2+4,"Skill: Percent, Ratio, Probability | Problem Type: Determining a percent of a given number | Sequence: 2",Low,0.309,
5,Represent decimals using models.,CCSS.MATH.CONTENT.5.NBT.A.3.A+5,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Low,0.215,
5,Identify digits in decimal numbers.,CCSS.MATH.CONTENT.5.NBT.A.3.A+2,Skill: Decimals | Problem Type: Converting proper fraction to decimal; no rounding off required | Sequence: 11,Low,0.210,
5,Read and write decimals to thousandths using base-ten numerals.,CCSS.MATH.CONTENT.5.NBT.A.3.A+1,Skill: Symbol Identification and Place Value | Problem Type: Reading and writing numerals between 10 million and 999 million | Sequence: 1,Low,0.259,
5,Read and write decimals to thousandths using expanded form with decimals.,CCSS.MATH.CONTENT.5.NBT.A.3.A+3,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Low,0.273,
5,Read and write decimals to thousandths using expanded form with fractions.,CCSS.MATH.CONTENT.5.NBT.A.3.A+4,Skill: Fractions | Problem Type: Adding and subtracting three fractions with different denominators | Sequence: 8,Low,0.330,
5,Identify decimals that are equivalent.,CCSS.MATH.CONTENT.5.NBT.A.3.B+1,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Very Low,0.192,
5,Compare decimals to the thousandths on the number line.,CCSS.MATH.CONTENT.5.NBT.A.3.B+2,Skill: Decimals | Problem Type: Rounding off decimals | Sequence: 5,Low,0.319,
5,Find decimals that are greater than or less than decimals represented on grids.,CCSS.MATH.CONTENT.5.NBT.A.3.B+3,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Low,0.208,
5,Compare decimal numbers.,CCSS.MATH.CONTENT.5.NBT.A.3.B+4,Skill: Decimals | Problem Type: Converting proper fraction to decimal; no rounding off required | Sequence: 11,Low,0.271,
5,"Solve word problems involving comparing, ordering and rounding decimals.",CCSS.MATH.CONTENT.5.NBT.A.4+4,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Low,0.296,
5,Evaluate numerical expressions with parentheses.,CCSS.MATH.CONTENT.5.OA.A.1+2,Skill: Fractions | Problem Type: Adding and subtracting three fractions with different denominators | Sequence: 8,Very Low,0.127,
5,Recognize how different placement of parentheses results in different solutions.,CCSS.MATH.CONTENT.5.OA.A.1+3,"Skill: Percent, Ratio, Probability | Problem Type: Simple percentage word problems | Sequence: 3",Very Low,0.174,
5,Identify mistakes involving the order of operations.,CCSS.MATH.CONTENT.5.OA.A.1+4,Skill: Fractions | Problem Type: Word problems: adding and subtracting fractions with unlike denominators | Sequence: 2,Low,0.254,
5,Use order of operations to evaluate numerical expressions.,CCSS.MATH.CONTENT.5.OA.A.1+1,"Skill: Percent, Ratio, Probability | Problem Type: Determining a percent of a given number | Sequence: 2",Very Low,0.171,
5,Interpret mathematical expressions based on verbal descriptions for one step problems.,CCSS.MATH.CONTENT.5.OA.A.2+1,"Skill: Percent, Ratio, Probability | Problem Type: Single-event probability problems | Sequence: 8",Very Low,0.163,
5,Interpret mathematical expressions based on verbal descriptions for two step problems.,CCSS.MATH.CONTENT.5.OA.A.2+2,Skill: Problem Solving | Problem Type: Five numerals: two sets of quantities are multiplied; the product of each is added; the sum is subtracted or added to a given quantity | Sequence: 2,Very Low,0.136,
5,Write numerical expressions for word problems.,CCSS.MATH.CONTENT.5.OA.A.2+3,Skill: Fractions | Problem Type: Determining all factors of a given number | Sequence: 3,Very Low,0.200,
5,Represent multi-step problems using equations.,CCSS.MATH.CONTENT.5.OA.A.2+4,Skill: Data Analysis | Problem Type: Solve problems involving fractions using information from line plots | Sequence: 1,Very Low,0.126,
5,"Identify and describe the components of the coordinate plane, including the x-axis, y-axis, origin, quadrants, and the conventions for plotting and naming points using ordered pairs.",CCSS.MATH.CONTENT.5.G.A.1+1,"Skill: Pre-Algebra | Problem Type: Students complete a function table, plot the points found, and connect the points in a line | Sequence: 2",Low,0.289,
5,Identify the coordinates for points on a coordinate plane.,CCSS.MATH.CONTENT.5.G.A.2+1,Skill: Pre-Algebra | Problem Type: Plot points on coordinate system given x and y values and reverse | Sequence: 1,Very High,0.850,"The direct instruction format aligns strongly with the curriculum standard. The ""problem type"" explicitly includes ""reverse"" of plotting, which directly addresses identifying coordinates, and the example ""Write the coordinates for point A"" is a perfect match for the standard. While the format also covers plotting points (the inverse operation) and locating points given coordinates (an application), the core skill of the standard is clearly and explicitly represented."
5,Graph points on the coordinate plane.,CCSS.MATH.CONTENT.5.G.A.1+2,Skill: Pre-Algebra | Problem Type: Plot points on coordinate system given x and y values and reverse | Sequence: 1,Low,0.358,
5,"Given a point, identify which coordinate is a set number of units up and right from it.",CCSS.MATH.CONTENT.5.G.A.2+2,"Skill: Percent, Ratio, Probability | Problem Type: Determining a percent of a given number | Sequence: 2",Low,0.306,
5,Graph points from a table.,CCSS.MATH.CONTENT.5.G.A.2+3,"Skill: Pre-Algebra | Problem Type: Students complete a function table, plot the points found, and connect the points in a line | Sequence: 2",Low,0.368,
5,Identify the relationship between corresponding terms of the two patterns.,CCSS.MATH.CONTENT.5.OA.B.3+3,Skill: Fractions | Problem Type: Word problems: adding and subtracting fractions with unlike denominators | Sequence: 2,Low,0.282,
5,Analyze real world graphs.,CCSS.MATH.CONTENT.5.G.A.2+4,Skill: Symbol Identification and Place Value | Problem Type: Reading and writing numerals between 10 million and 999 million | Sequence: 1,Very Low,0.000,
5,Generate two numerical patterns based on the given rules and starting number.,CCSS.MATH.CONTENT.5.OA.B.3+1,Skill: Pre-Algebra | Problem Type: Plot points on coordinate system given x and y values and reverse | Sequence: 1,Low,0.240,
5,Multiply by three digit numbers with zeros in a factor.,CCSS.MATH.CONTENT.5.NBT.B.5+1,Skill: Multiplication | Problem Type: Three-digit factor times three-digit factor | Sequence: 1,Low,0.300,"The direct instruction format covers the general skill of multiplying three-digit numbers, but it completely omits the crucial specified condition of ""zeros in a factor"" from both its problem type description and its provided examples. This specific scenario presents unique instructional challenges that are central to the curriculum standard, making the alignment very low for the intended learning objective."
5,Multiply 2 digit numbers by 3 digit numbers,CCSS.MATH.CONTENT.5.NBT.B.5+2,Skill: Decimals | Problem Type: Multiplying decimals: one-digit or two-digit factor times three-digit factor | Sequence: 3,Low,0.335,
5,Mutliply 3 digit numbers by 3 or 4 digit numbers,CCSS.MATH.CONTENT.5.NBT.B.5+3,Skill: Decimals | Problem Type: Multiplying decimals: one-digit or two-digit factor times three-digit factor | Sequence: 3,Low,0.329,
5,Divide numbers by two digit divisors using models,CCSS.MATH.CONTENT.5.NBT.B.6+1,Skill: Decimals | Problem Type: Multiplying decimals: one-digit or two-digit factor times three-digit factor | Sequence: 3,Low,0.270,
5,Add decimals to hundredths.,CCSS.MATH.CONTENT.5.NBT.B.7+1,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Low,0.277,
5,Divide 2-digit numbers by 2-digit numbers,CCSS.MATH.CONTENT.5.NBT.B.6+4,Skill: Fractions | Problem Type: Dividing mixed numerals by whole numerals | Sequence: 12,Low,0.345,
5,Divide 3-digit numbers by 2-digit numbers,CCSS.MATH.CONTENT.5.NBT.B.6+5,Skill: Decimals | Problem Type: Multiplying decimals: one-digit or two-digit factor times three-digit factor | Sequence: 3,Low,0.335,
5,"Use the standard long‑division algorithm to divide any whole number of up to four digits by a two‑digit number, and explain both the quotient and any remainder.",CCSS.MATH.CONTENT.5.NBT.B.6+3,"Skill: Decimals | Problem Type: Dividing: whole number divisor, rounding off | Sequence: 10",Low,0.315,
5,Divide 4-digit numbers by 2-digit numbers,CCSS.MATH.CONTENT.5.NBT.B.6+6,Skill: Decimals | Problem Type: Multiplying decimals: one-digit or two-digit factor times three-digit factor | Sequence: 3,Low,0.335,
5,Solve real-world problems involving multiplication.,CCSS.MATH.CONTENT.5.NBT.B.5+4,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Very Low,0.100,"The direct instruction format completely lacks the ""real-world problems"" aspect central to the curriculum standard, instead providing abstract computational exercises."
5,Subtract decimals to hundredths.,CCSS.MATH.CONTENT.5.NBT.B.7+2,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Low,0.277,
5,Solve word problems involving additing and subtracting with decimal numbers.,CCSS.MATH.CONTENT.5.NBT.B.7+3,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Low,0.331,
5,2FH- Multiply a decimal by a two-digit whole number,CCSS.MATH.CONTENT.5.NBT.B.5+7,Skill: Decimals | Problem Type: Multiplying decimals: one-digit or two-digit factor times three-digit factor | Sequence: 3,Low,0.270,
5,Multiply decimals using models.,CCSS.MATH.CONTENT.5.NBT.B.5+5,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Low,0.215,
5,6FA - Multiply two decimals: where does the decimal point go?,CCSS.MATH.CONTENT.5.NBT.B.5+6,Skill: Decimals | Problem Type: Multiplying decimals: zero to be placed after decimal point | Sequence: 4,Low,0.252,
5,Divide decimals by using place value blocks.,CCSS.MATH.CONTENT.5.NBT.B.7+5,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Very Low,0.162,
5,Divide decimals by whole numbers using place value.,CCSS.MATH.CONTENT.5.NBT.B.7+6,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Low,0.241,
5,Divide decimals to hundredths by a whole number.,CCSS.MATH.CONTENT.5.NBT.B.7+4,Skill: Decimals | Problem Type: Rounding off decimals | Sequence: 5,Low,0.319,
5,Solve real world problems involving multiplication of two fractions.,CCSS.MATH.CONTENT.5.NF.B.6+3,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Low,0.337,
5,Solve word problems involving multiplying decimals to the hundredths place resulting in decimals up to the thousandths place.,CCSS.MATH.CONTENT.5.NBT.B.7+7,Skill: Decimals | Problem Type: Rounding off decimals | Sequence: 5,Low,0.238,
5,Solve real world problems involving multiplication of fractions and whole numbers.,CCSS.MATH.CONTENT.5.NF.B.6+1,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Low,0.338,
5,Add fractions less than one with unlike denominators.,CCSS.MATH.CONTENT.5.NF.A.1+2,Skill: Fractions | Problem Type: Adding and subtracting three fractions with different denominators | Sequence: 8,Low,0.375,
5,Find the least common denominator for two fractions.,CCSS.MATH.CONTENT.5.NF.A.1+1,Skill: Fractions | Problem Type: Finding the lowest common multiple of three numbers | Sequence: 7,Low,0.329,
5,Add mixed numbers.,CCSS.MATH.CONTENT.5.NF.A.1+6,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Low,0.200,"The instruction focuses on converting number formats, which is a different skill than performing the arithmetic operation of addition specified in the standard, despite both involving mixed numbers."
5,Add mixed numbers and proper fractions.,CCSS.MATH.CONTENT.5.NF.A.1+3,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Very Low,0.000,"The curriculum standard focuses on the operation of addition with mixed numbers and proper fractions, while the direct instruction format teaches the conversion of mixed numbers to mixed decimals, which is a completely different skill and operation."
5,Subtract mixed numbers with unlike denominators.,CCSS.MATH.CONTENT.5.NF.A.1+5,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Very Low,0.100,"The instruction focuses on converting mixed numbers to decimals, which is a different operation and number representation than the standard's focus on *subtracting* mixed numbers (implying fractional form) and addressing the specific challenge of *unlike denominators* within that fractional context. While both involve ""mixed numbers"" as a starting point, the core skill and conceptual challenge are entirely divergent."
5,Subtract fractions with unlike denominators.,CCSS.MATH.CONTENT.5.NF.A.1+4,Skill: Fractions | Problem Type: Adding and subtracting three fractions with different denominators | Sequence: 8,Low,0.350,
5,Solve word problems involving subtraction of fractions.,CCSS.MATH.CONTENT.5.NF.A.2+3,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Low,0.383,
5,Solve word problems involving addition and subtraction of fractions.,CCSS.MATH.CONTENT.5.NF.A.2+5,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Very Low,0.100,"The instruction format focuses on evaluating numerical expressions with whole numbers and multiple operations including multiplication, whereas the curriculum standard is specifically about solving word problems involving only addition and subtraction of fractions. The only commonality is the presence of addition and subtraction operations, but the number type, problem format, and inclusion of multiplication are completely misaligned."
5,Solve multistep word problems involving addition and subtraction of fractions.,CCSS.MATH.CONTENT.5.NF.A.2+4,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Very Low,0.000,"The direct instruction format does not align with the curriculum standard. The standard requires solving multistep *word problems* involving *fractions*, whereas the format presents *computational problems* with *whole numbers* and introduces *multiplication*, which is not specified in the standard."
5,Solve word problems involving addition of fractions.,CCSS.MATH.CONTENT.5.NF.A.2+2,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Low,0.383,
5,Estimate sums and differences of fractions using benchmarks.,CCSS.MATH.CONTENT.5.NF.A.2+1,Skill: Fractions | Problem Type: Adding and subtracting three fractions with different denominators | Sequence: 8,Low,0.212,
5,Multiply fractions using area models.,CCSS.MATH.CONTENT.5.NF.B.6+4,Skill: Fractions | Problem Type: Adding and subtracting three fractions with different denominators | Sequence: 8,Very Low,0.182,
5,Interpret a fraction as division of the numerator by the denominator (a/b = a ÷ b) and solve word problems involving division of whole numbers resulting in fractional answers.,CCSS.MATH.CONTENT.5.NF.B.3+1,Skill: Fractions | Problem Type: Word problems: adding and subtracting fractions with unlike denominators | Sequence: 2,Low,0.303,
5,"Fluently divide multi-digit numbers using the standard algorithm, resulting in fractions.",CCSS.MATH.CONTENT.5.NF.B.3+2,Skill: Fractions | Problem Type: Adding and subtracting three fractions with different denominators | Sequence: 8,Low,0.213,
5,Solve word problems that involve dividing integers and result in fractions.,CCSS.MATH.CONTENT.5.NF.B.3+3,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Very Low,0.100,"The direct instruction covers basic arithmetic with positive whole numbers (multiplication, addition, subtraction) in numerical expressions. The curriculum standard requires division of integers (including negatives) in word problems, resulting in fractions. There is a fundamental mismatch in operations, number types, problem format, and desired outcomes. While basic arithmetic is foundational, this specific instruction is a very distant and indirect ""preskill"" for the target standard."
5,"Explain why multiplying a number by a fraction greater than 1 increases its value, multiplying by a fraction less than 1 decreases its value, and multiplying any fraction by n ⁄ n produces an equivalent fraction because n ⁄ n equals 1.",CCSS.MATH.CONTENT.5.NF.B.5.A+1,Skill: Fractions | Problem Type: Multiplying mixed numerals | Sequence: 9,Low,0.342,
5,Solve problems by finding the fraction of a whole number or multiplying a whole number by a fraction.,CCSS.MATH.CONTENT.5.NF.B.4.A+1,Skill: Decimals | Problem Type: Dividing by whole number: quotient begins with zero | Sequence: 7,Low,0.243,
5,Solve problems involving finding fractions of numbers.,CCSS.MATH.CONTENT.5.NF.B.4.A+2,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Low,0.294,
5,Multiply mixed numbers by whole numbers and mixed numbers with mixed numbers with area models.,CCSS.MATH.CONTENT.5.NF.B.4.A+8,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Very Low,0.100,"The instruction focuses on converting mixed numbers to decimals, which is a different operation and method than multiplying mixed numbers using area models, as explicitly required by the curriculum standard. The core operation, specific method, and the full scope of operands are not aligned."
5,Multiply mixed numbers by whole numbers.,CCSS.MATH.CONTENT.5.NF.B.4.A+6,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Very Low,0.100,"The instruction focuses on converting mixed numbers to decimals, which is a different operation and number representation than the multiplication of mixed numbers by whole numbers specified in the standard."
