grade,substandard_description,substandard_id,direct_instructions,match_confidence,similarity_score,llm_explanation
7,"Classify numbers as rational, whole, integers.",CCSS.MATH.CONTENT.7.NS.A.2.D+1,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Very Low,0.126,
7,Convert fractions to decimals using long division.,CCSS.MATH.CONTENT.7.NS.A.2.D+2,Skill: Pre-Algebra | Problem Type: Ratio tables problems using percentages that compare | Sequence: 7,Very Low,0.126,
7,Describe situations in which opposite quantities combine to make 0. ,CCSS.MATH.CONTENT.7.NS.A.1.A+1,Skill: Geometry | Problem Type: Identify opposite angles and that they are equal | Sequence: 3,Low,0.269,
7,Solve mathematical problems that involve adding integers.,CCSS.MATH.CONTENT.7.NS.A.1.D+1,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Very Low,0.116,
7,Solve mathematical problems that involve adding rational numbers.,CCSS.MATH.CONTENT.7.NS.A.1.D+2,Skill: Geometry | Problem Type: Identify corresponding angles and that they are equal | Sequence: 2,Very Low,0.065,
7,Solve mathematical problems that involve subtracting integers.,CCSS.MATH.CONTENT.7.NS.A.1.D+3,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Very Low,0.116,
7,Solve mathematical problems that involve subtracting rational numbers.,CCSS.MATH.CONTENT.7.NS.A.1.D+4,Skill: Geometry | Problem Type: Identify corresponding angles and that they are equal | Sequence: 2,Very Low,0.065,
7,Solve real-world problems that involve and adding and subtracting rational numbers including integers.,CCSS.MATH.CONTENT.7.NS.A.1.D+5,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Low,0.284,
7,Solve mathematical problems by multiplying integers.,CCSS.MATH.CONTENT.7.NS.A.2.C+1,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Very Low,0.126,
7,Solve mathematical problems by multiplying rational numbers.,CCSS.MATH.CONTENT.7.NS.A.2.C+2,Skill: Pre-Algebra | Problem Type: Multiply by a positive or negative integer | Sequence: 2,Very Low,0.098,
7,Solve mathematical problems involving dividing integers.,CCSS.MATH.CONTENT.7.NS.A.2.C+3,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Very Low,0.126,
7,Solve mathematical problems involving dividing rational numbers.,CCSS.MATH.CONTENT.7.NS.A.2.C+4,Skill: Pre-Algebra | Problem Type: Ratio tables problems using percentages that compare | Sequence: 7,Very Low,0.033,
7,Solve real-world problems that involve multiplying and dividing rational numbers including integers.,CCSS.MATH.CONTENT.7.NS.A.2.C+5,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Low,0.200,
7,Identify multiple expressions to represent a situation.,CCSS.MATH.CONTENT.7.EE.A.2+1,Skill: Geometry | Problem Type: Identify corresponding angles and that they are equal | Sequence: 2,Low,0.256,
7,Solve multi-step word problems.,CCSS.MATH.CONTENT.7.EE.B.3+1,Skill: Pre-Algebra | Problem Type: Ratio tables problems using percentages that compare | Sequence: 7,Very Low,0.039,
7,"Evaluate expressions using order of operation with rational numbers, including integers.",CCSS.MATH.CONTENT.7.NS.A.3+1,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.142,
7,"Evaluate expressions with variables, given values to substitute for the variables.",CCSS.MATH.CONTENT.7.EE.B.3+2,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.269,
7,Simplify linear expressions.,CCSS.MATH.CONTENT.7.EE.A.1+1,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.000,
7,Use the distributive property with linear expressions.,CCSS.MATH.CONTENT.7.EE.A.1+4,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.285,
7,Add linear expressions.,CCSS.MATH.CONTENT.7.EE.A.1+2,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Low,0.209,
7,Subtract linear expressions.,CCSS.MATH.CONTENT.7.EE.A.1+3,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Low,0.209,
7,Factor linear expressions.,CCSS.MATH.CONTENT.7.EE.A.1+5,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.000,
7,Solve two step equations.,CCSS.MATH.CONTENT.7.EE.B.4.A+1,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.000,
7,Solve word problems that involve two step equations.,CCSS.MATH.CONTENT.7.EE.B.4.A+2,Skill: Geometry | Problem Type: Identify corresponding angles and that they are equal | Sequence: 2,Very Low,0.065,
7,Solve one-step inequalities.,CCSS.MATH.CONTENT.7.EE.B.4.B+1,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.100,
7,Solve word problems that involve one-step inequalities.,CCSS.MATH.CONTENT.7.EE.B.4.B+2,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.070,
7,Solve two-step inequalities.,CCSS.MATH.CONTENT.7.EE.B.4.B+3,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.000,
7,Identify the constant of proportionality in graphs.,CCSS.MATH.CONTENT.7.RP.A.2.B+2,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.301,
7,Solve word problems that involve two-step inequalities.,CCSS.MATH.CONTENT.7.EE.B.4.B+4,Skill: Geometry | Problem Type: Identify corresponding angles and that they are equal | Sequence: 2,Very Low,0.065,
7,Graph the solution sets of inequalities on a number line and interpret the graphed solution in the context of the problem.,CCSS.MATH.CONTENT.7.EE.B.4.B+5,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Very Low,0.000,"They are completely unrelated. The standard focuses on graphing and interpreting inequalities, while the direct instruction format is about calculating the area of a circle using a formula."
7,Compute unit rates from ratios involving fractions.,CCSS.MATH.CONTENT.7.RP.A.1+1,Skill: Geometry | Problem Type: Use knowledge of facts about angles to compute values of angles in a complex diagram | Sequence: 4,Very Low,0.142,
7,Determine if two quantities represented in a table are in a proportional relationship.,CCSS.MATH.CONTENT.7.RP.A.2.A+2,Skill: Geometry | Problem Type: Use knowledge of facts about angles to compute values of angles in a complex diagram | Sequence: 4,Very Low,0.181,
7,Determine if two quantities represented in a graph are in a proportional relationship.,CCSS.MATH.CONTENT.7.RP.A.2.A+3,Skill: Geometry | Problem Type: Use knowledge of facts about angles to compute values of angles in a complex diagram | Sequence: 4,Very Low,0.181,
7,Identify the constant of proportionality in tables.,CCSS.MATH.CONTENT.7.RP.A.2.B+1,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.301,
7,Identify the constant of proportionality in equations.,CCSS.MATH.CONTENT.7.RP.A.2.B+3,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.301,
7,"Represent proportional relationships by equations. For example, if total cost t is proportional to the number n of items purchased at a constant price p, the relationship between the total cost and the number of items can be expressed as t = pn.",CCSS.MATH.CONTENT.7.RP.A.2.C+1,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.369,
7,Solve mathematical proportions.,CCSS.MATH.CONTENT.7.RP.A.3+1,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.000,
7,Write and solve proportions in real-world context.,CCSS.MATH.CONTENT.7.RP.A.3+2,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Very Low,0.147,
7,Interpreting coordinate points on graphs.,CCSS.MATH.CONTENT.7.RP.A.2.D+1,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.000,
7,Solve problems involving computing actual lengths and areas from a scale drawing.,CCSS.MATH.CONTENT.7.G.A.1+2,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Very Low,0.125,
7,Solve problems involving computing perimeter or areas from a scale drawing.,CCSS.MATH.CONTENT.7.G.A.1+3,"Skill: Geometry | Problem Type: Use equation π (pi) ∙ D = C to find π(pi), D, or C | Sequence: 5",Very Low,0.065,
7,Solve percent of change problems.,CCSS.MATH.CONTENT.7.RP.A.3+5,Skill: Geometry | Problem Type: Use knowledge of facts about angles to compute values of angles in a complex diagram | Sequence: 4,Very Low,0.155,
7,Solve percent error problems.,CCSS.MATH.CONTENT.7.RP.A.3+6,Skill: Pre-Algebra | Problem Type: Ratio tables problems using percentages that compare | Sequence: 7,Very Low,0.043,
7,"Solve discount problems involving original price, discount percentage, discount amount, and sale price",CCSS.MATH.CONTENT.7.RP.A.3+7,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Very Low,0.090,
7,"Solve markup problems involving cost, markup percentage, markup amount, and selling price",CCSS.MATH.CONTENT.7.RP.A.3+8,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Very Low,0.098,
