grade,substandard_description,substandard_id,direct_instructions,match_confidence,similarity_score,llm_explanation
3,Write a multiplication equation that represents an equal sets of objects.,CCSS.MATH.CONTENT.3.OA.A.1+1,Skill: Fractions | Problem Type: Reading and writing mixed numerals | Sequence: 1,Very Low,0.157,
3,Write a multiplication equation that represents an array.,CCSS.MATH.CONTENT.3.OA.A.1+3,Skill: Fractions | Problem Type: Reading and writing mixed numerals | Sequence: 1,Very Low,0.188,
3,Represent a product of whole numbers as repeated addition.,CCSS.MATH.CONTENT.3.OA.A.1+2,Skill: Fractions | Problem Type: Writing a fraction as an equivalent to one whole group | Sequence: 2,Very Low,0.193,
3,Solve multiplication facts.,CCSS.MATH.CONTENT.3.OA.A.1+5,Skill: Multiplication | Problem Type: Missing factor multiplication; both factors are one-digit numbers | Sequence: 2,Very Low,0.184,
3,Solve real-world multiplication problems.,CCSS.MATH.CONTENT.3.OA.A.1+4,Skill: Multiplication | Problem Type: Missing factor multiplication; both factors are one-digit numbers | Sequence: 2,Very Low,0.142,
3,Relate division to equal groups.,CCSS.MATH.CONTENT.3.OA.A.1+6,"Skill: Problem Solving | Problem Type: Multiplication/division problems with the word ""each"" or ""every"" | Sequence: 1",Very Low,0.186,
3,"Understand division as the process of sharing or grouping by solving division problems using counters, drawings, or arrays.",CCSS.MATH.CONTENT.3.OA.A.2+1,Skill: Data Analysis | Problem Type: Solve one- and two-step problems using information presented in scaled picture and bar graphs | Sequence: 2,Low,0.219,
3,Write a division equation that represents an equal sets of objects.,CCSS.MATH.CONTENT.3.OA.A.2+3,Skill: Division | Problem Type: Division equation with ÷ sign; no remainder; single-digit divisor and quotient. | Sequence: 3,Very Low,0.186,
3,Write a division equation that represents an array.,CCSS.MATH.CONTENT.3.OA.A.2+2,Skill: Division | Problem Type: Division equation with ÷ sign; no remainder; single-digit divisor and quotient. | Sequence: 3,Low,0.223,
3,Write a multiplication or division equation to represent an array.,CCSS.MATH.CONTENT.3.OA.A.2+4,Skill: Division | Problem Type: Division equation with ÷ sign; no remainder; single-digit divisor and quotient. | Sequence: 3,Very Low,0.197,
3,Understand division as an unknown-factor problem using arrays.,CCSS.MATH.CONTENT.3.OA.B.6+1,Skill: Fractions | Problem Type: Writing a fraction as an equivalent to one whole group | Sequence: 2,Low,0.214,
3,"Solve for the missing number in a multiplication context (e.g., ""2 groups of ____ equal 4, or ___ x 5 = 15"").",CCSS.MATH.CONTENT.3.OA.B.6+5,Skill: Multiplication | Problem Type: Missing factor multiplication; both factors are one-digit numbers | Sequence: 2,Low,0.241,
3,Find a missing factor for a multiplication fact.,CCSS.MATH.CONTENT.3.OA.B.6+2,Skill: Multiplication | Problem Type: Missing factor multiplication; both factors are one-digit numbers | Sequence: 2,Low,0.380,
