skill,format_number,title,grade,flattened_content
Counting,4.1,INTRODUCING NEW NUMBERS,0,"Format 4.1 | Title: INTRODUCING NEW NUMBERS | Parts: Part: INTRODUCING NEW NUMBERS | Steps: Step 1 | Teacher: You are going to count and end up with 10. What number will you end up with? Start at 1, get ready, count. | Student: 10 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 || Step 2 | Teacher: I'm going to count and end up with 13. What am I going to end up with? Yes, 13. Listen: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13. (Quickly count to 10 and then emphasize 11, 12, 13.) Listen to the new part: 11, 12, 13. | Student: 13 || Step 3 | Teacher: When I drop my hand, say the new part with me. (Extend pronunciation of 10.) Teeennn (drop hand and respond with students), 11,12,13. Again. Teeennn (drop hand), 11, 12, 13. (Repeat until students respond correctly several times in a row.) | Student: 11, 12, 13 11, 12, 13 || Step 4 | Teacher: Say the new part all by yourselves: teeennn (drop hand). | Student: 11, 12, 13 || Step 5 | Teacher: Now you're going to count and end up with 13. What number will you end up with? Starting at 1, get ready, count. (Give individual turns.) | Student: 13 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13"
Counting,4.2,RATIONAL COUNTING,0,"Format 4.2 | Title: RATIONAL COUNTING | Parts: Part: Part A: Structured Board Presentation | Steps: Step 1 | Teacher: (Draw four lines on the board.) My turn. Every time I touch a line, I count. Watch. (Touch lines at 1-second intervals.) 1, 2, 3, 4. What number did I end with? (Repeat step 1 with seven lines.) | Student: 4 || Step 2 | Teacher: (Draw six lines on the board.) Every time I touch a line, you count. (Point to left of line.) Get ready. (Touch lines from left to right at 1-second intervals as students count.) (If students count before you touch a line, tell them: Watch my finger. Count only when I touch a line.) | Student: 1, 2, 3, 4, 5, 6 || Step 3 | Teacher: What number did we end with? | Student: 6 || Step 4 | Teacher: So, how many lines are there? | Student: 6 || Step 5 | Teacher: (Repeat steps 2-4 with three lines, then seven lines. Give individual turns to several students.) || Part: Part B: Structured Worksheet Presentation | Steps: Step 1 | Teacher: (Hold up a worksheet, and point to a group of objects.) We're going to count all the objects. Watch me count. (Touch the objects from left to right and count.) 1, 2, 3, 4, 5. Watch me count again. (Touch objects from right to left and count.) 1, 2, 3, 4, 5. || Step 2 | Teacher: Everyone, hold your finger over the first picture (Check to see that all students are pointing to but not touching the appropriate picture.) Each time I clap, you touch an object and say the number. Get ready. (Clap one time per second. Count with students while monitoring their touching.) 1, 2, 3, 4, 5 | Student: 1, 2, 3, 4, 5 || Step 3 | Teacher: All by yourselves, you're going to count the pictures. Hold your finger over the first picture. (Check.) Get ready. (Clap one time per second.) How many lines are there? | Student: 1, 2, 3, 4, 5 5 || Step 4 | Teacher: (Repeat steps 2 and 3 with other examples. Give individual turns to several students.)"
Counting,4.3,COUNTING TWO GROUPS OF LINES,0,"Format 4.3 | Title: COUNTING TWO GROUPS OF LINES | Parts: Part: Part A: Structured Board Presentation | Steps: Step 1 | Teacher: (Write the following lines on the board.) Here are two groups of lines. (Touch the first group.) Here is the first group. (Touch the second group.) Here is the second group. || Step 2 | Teacher: Let’s count the lines in the first group. (Touch as students count.) How many in the first group? | Student: 1, 2, 3, 4, 5 5 || Step 3 | Teacher: Let's count the lines in the second group. (Touch as students count.) How many in the second group? | Student: 1,2,3 3 || Step 4 | Teacher: Now let's count all the lines. You count the lines in the first group, and then you keep on going and count the lines in the second group. (Touch as students count.) | Student: 1, 2, 3, 4, 5, 6, 7, 8 || Step 5 | Teacher: How many lines in all? (Repeat with additional examples.) | Student: 8 || Part: Part B: Structured Worksheet Presentation | Steps: Step 1 | Teacher: Touch a. (Check.) || Step 2 | Teacher: Touch the first group of lines. I'll clap. You count the objects in the first group. Put your finger over the first line. (Pause and check.) Get ready. (Clap at 1-second intervals.) How many in the first group? | Student: 3 || Step 3 | Teacher: (Repeat step 2 with the second group.) || Step 4 | Teacher: Now you're going to count all the lines. Start counting with the first group. Put your finger over the first line. (Pause and check.) Get ready. (Clap at 1 -second intervals.) | Student: 1, 2, 3, 4, 5, 6, 7 || Step 5 | Teacher: How many in all? | Student: 7 || Step 6 | Teacher: (Repeat steps 1-5 with b, c, and d. Be sure to give individual turns.)"
Counting,4.4,COUNTING FROM NUMBERS OTHER THAN 1 (See Video A/B),0,"Format 4.4 | Title: COUNTING FROM NUMBERS OTHER THAN 1 (See Video A/B) | Parts: Part: Part A: Preskill—Get-lt-Going Signal | Steps: Step 1 | Teacher: ""Get it going"" means to say a number for as long as I move my finger. || Step 2 | Teacher: (Hold up hand.) My turn. I'm going to get 4 going. (Move hand in circular motion, saying ffoouurr with extended pronunciation. After several seconds, drop hand and stop saying 4.) || Step 3 | Teacher: (Repeat step 2 with the numbers 6 and 9.) || Step 4 | Teacher: Let's do it together. We have 4. How many do we have? Get it going: ffoouurr. | Student: 4 ffoouurr || Step 5 | Teacher: You have five. How many do you have? Get it going: ffiivve (Repeat step 5 with the numbers 7 and 3.) | Student: 5 ffiivvee || Part: Part B: Oral Presentation | Steps: Step 1 | Teacher: We're going to get it going and count. My turn. We have four. Get it going. (Signal by moving hand in circular motion. After 2 seconds, drop hand.) Ffoouurr, 5, 6, 7, 8, stop. (Count at a rate of about two numbers a second.) || Step 2 | Teacher: Get it going and count with me. You have 4. How many do you have? Get it going: Foouuurr, 5, 6, 7, 8. | Student: 4 Ffoouurr, 5, 6, 7, 8 || Step 3 | Teacher: All by yourselves. You have 4. Get it going. | Student: ffoouurr, 5, 6, 7, 8 || Step 4 | Teacher: (Repeat steps 1-3 with the numbers 7 and then 3. Give individuals turns.)"
Counting,4.5,COUNT-BY (See Videos in Parts A and B),0,"Format 4.5 | Title: COUNT-BY (See Videos in Parts A and B) | Parts: Part: Part A: Introducing the Count-by | Steps: Step 1 | Teacher: (Draw lines in groups of two on the board.) II II II II II Let's find out how many lines we have. I'll touch and you count. How many lines are there? (Write 10 next to the last group.) Now I'll show you a fast way to count those lines. (Circle each group of two lines with your finger. For each group, ask, ""How many lines in this group?"" After asking about all five groups, ask, ""How many lines are in each group?"") When we count groups of 2, we count lines the fast way. | Student: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 10 || Step 2 | Teacher: Let's figure out the numbers we say when we count by 2. Count the lines in the first group. (Point to each line as students count.) Yes, there are two lines, so 1 write 2 above the first group (Write 2 above the first group.) Count the lines in the first and second groups. You counted four lines so far, so I'll write 4 above the second group. (Write it.) (Continue to have the students count each successive group from the beginning, writing the appropriate numeral above each group, such as the following: 2 4 6 8 10 II II II II II When the students have finished, the lines should look like the above example.) | Student: 1, 2 1, 2, 3, 4 || Step 3 | Teacher: Now you know what numbers to say when you count by 2. Let's count the lines again, but this time we'll count by 2. (Point to each numeral as students count.) | Student: 2, 4, 6, 8, 10 || Step 4 | Teacher: How many did you end up with when you counted by 2? | Student: 10 || Step 5 | Teacher: (Point to the 10 written next to the last group.) How many did you end up with when you counted the regular way? See, the fast way really does work. | Student: 10 || Part: Part B: Structured Board Presentation | Steps: Step 1 | Teacher: (Write the following numerals on the board.) 6, 12, 18, 24, 30 Today we are going to learn to count by 6. || Step 2 | Teacher: I will say the first few numbers in the series: 6, 12, 18, 24, 30. || Step 3 | Teacher: Say this part with me as I touch each numeral. Get ready. (Signal) | Student: 6, 12, 18, 24, 30 || Step 4 | Teacher: Say the series by yourselves. Get ready. (Signal.) (Give individual turns to several students.) | Student: 6, 12, 18, 24, 30 || Step 5 | Teacher: (Erase one of the numerals in the series.) Say the sixes again, including the missing number. (Repeat step 5, erasing another numeral each time, until students can say the series without help.) | Student: 6, 12, 18, 24, 30 || Step 6 | Teacher: (Alternate previously learned count-by series with practice on new series.)"
Symbol Identification and Place Value,5.1,INTRODUCING NEW NUMERALS,0,"Format 5.1 | Title: INTRODUCING NEW NUMERALS | Parts: Part: Procedure | Description: Note: This format is used with each new symbol. In this example, we assume that the numerals 1, 4, 6, and 2 have been introduced and that the numeral 7 is being introduced. (Display the following numerals on the screen: 7 2 4 6 7 7 1) | Steps: Step 1 | Teacher: (Model and test. Highlight 7.) This is a seven. What is this? (Touch 7.) | Student: 7 || Step 2 | Teacher: (Discrimination practice.) When I touch it, tell me what it is. (Highlight 2, pause a second.) What numeral? (Touch 2.) (Repeat step 3 with these numerals: 7, 1, 6, 1, 7, 2, 1, 6, 7, etc.) | Student: 2 || Step 3 | Teacher: (Individual turns: Ask individual students to identify several numerals.)"
Symbol Identification and Place Value,5.2,EQUATION WRITING,0,"Format 5.2 | Title: EQUATION WRITING | Parts: Part: Procedure | Steps: Step 1 | Teacher: (Provide students a digital writing tool.) You are going to write an equation. First you'll say it. Listen: Six plus two equals how many? Listen again. Six plus two equals how many? Say that. | Student: Six plus two equals how many? | Notes: To correct: Respond with students until they can say the statement at the normal rate of speech. || Step 2 | Teacher: Now we'll say it the slow way. Every time I clap, we'll say a part of the statement. (Respond with the students.) Get ready. (Clap.) Six (Pause 2 seconds; clap.) plus (Pause 2 seconds; clap.) two (Pause 2 seconds; clap.) equals (Pause 2 seconds; clap.) how many? (Repeat step 2 until students appear able to respond on their own.) | Student: Six Six plus plus two two equals equals how many? how many? || Step 3 | Teacher: Now I'll clap and you say the statement by yourselves. (Pause.) Get ready. (Clap at 2-second intervals.) | Student: Six plus two equals how many? || Step 4 | Teacher: Now write the problem. | Student: Students write 6 + 2 = □ || Step 5 | Teacher: (Repeat steps 1-5 with three more equations, e.g., 8 - 3 = □; 4 + 5 = □; 7 - 2 = □)"
Symbol Identification and Place Value,5.3,IDENTIFYING A SYMBOL AND THEN DRAWING LINES,0,"Format 5.3 | Title: IDENTIFYING A SYMBOL AND THEN DRAWING LINES | Parts: Part: Procedure | Steps: Step 1 | Teacher: Everybody touch the first numeral on your worksheet. (Display worksheet and highlight 4.) What is it? A 4 tells you to make four lines. What does a 4 tell you to do? Each time I clap, draw a line and count. (Signal by clapping once each 2 seconds.) How many did you end up with? Yes, 4. | Student: 4 Make 4 lines. 1, 2, 3, 4 4 || Step 2 | Teacher: Touch the next symbol. What is it? A 6 tells you to make six lines. What does a 6 tell you to do? Each time I clap, draw a line and count. (Signal by clapping once each two seconds.) How many did you end up with? Yes, 6. | Student: 6 Make 6 lines. 1, 2, 3, 4, 5, 6 6 || Step 3 | Teacher: Touch the next symbol. What is it? Does a box tell you to draw lines? No. A box does not tell you to draw lines. Does a box tell you to draw lines? So are you going to draw lines? | Student: box No. no no || Step 4 | Teacher: Touch the next symbol. What is it? What does 2 tell you to do? Do it. Get ready to count the lines. Get ready. (Signal by clapping once each 2 seconds.) How many did you end up with? | Student: 2 Make two lines. 1, 2 2 | Notes: (On subsequent days use step 4 wording to provide additional examples.)"
Symbol Identification and Place Value,5.4,WRITING A NUMERAL FOR A SET OF OBJECTS,0,"Format 5.4 | Title: WRITING A NUMERAL FOR A SET OF OBJECTS | Parts: Part: Procedure | Steps: Step 1 | Teacher: Everybody, here's a rule: The objects under a box tell what numeral goes in the box. Get ready to count the objects under this box. (Highlight the first set of objects on the worksheet and pause while the students highlight the first line.) Count as I clap. Get ready. (Clap each second.) How many objects are under this box? So what numeral are you going to write in the box? Write that numeral. | Student: 1, 2, 3 3 3 || Step 2 | Teacher: (Repeat step 1 for additional examples.)"
Symbol Identification and Place Value,5.5,READING TEEN NUMERALS USING PLACE VALUE CONCEPTS,0,"Format 5.5 | Title: READING TEEN NUMERALS USING PLACE VALUE CONCEPTS | Parts: Part: Part A: Structured Board Presentation | Steps: Step 1 | Teacher: (Display the following chart.) tens ones 1 4 1 6 1 7 1 8 1 9 (Highlight the tens column.) This is the tens column. (Highlight the ones column.) This is the ones column. || Step 2 | Teacher: These numerals all start with one ten. When we have one ten in the tens column, we say teen. Listen to me read the numerals. (Highlight 14) 14 (Highlight 16) 16 (Highlight 17) 17 (Highlight 18) 18 (Highlight 19) 19 || Step 3 | Teacher: Your turn to read these numerals. (Highlight numerals in random order as students read.) || Step 4 | Teacher: (Give individual turns to several students to read two numerals.) || Part: Part B: Less Structured Board Presentation | Steps: Step 1 | Teacher: (Display 14. Highlight 14.) What numeral? | Student: 14 || Step 2 | Teacher: (Repeat step 1 with 19, 17, 18, 16.) || Part: Part C: Worksheet | Steps: Step 1 | Teacher: Look at picture A. The big pile has 10 blocks in it. The small pile has 4 blocks in it. I'll count: 10 (pause), 11, 12, 13, 14. How many blocks? | Student: 14 || Step 2 | Teacher: There are 14 blocks. Put a circle around the numeral 14. (Check student work.) || Step 3 | Teacher: Look at picture B. The big pile has 10 blocks in it. Start with 10 and count. Get ready. | Student: 10, 11, 12, 13, 14, 15, 16, 17 || Step 4 | Teacher: How many blocks are there? | Student: 17 || Step 5 | Teacher: Circle the numeral 17. (Repeat steps 4-6 with other examples.)"
