grade,substandard_description,substandard_id,direct_instructions,match_confidence,similarity_score,llm_explanation
3,Write a multiplication equation that represents an equal sets of objects.,CCSS.MATH.CONTENT.3.OA.A.1+1,"Skill: Division | Grade: 3 | Sequence 1: One-digit divisor and one-digit quotient; no remainder. | Examples: 3)15; 2)12; 5)20 | Visual Aids: Picture of objects to be grouped into smaller, equal sets.; Array of objects aligned in equal rows and columns. | Sequence 2: One-digit divisor and quotient with remainder. | Examples: 5)38; 2)9; 5)22 | Sequence 3: Division equation with ÷ sign; no remainder; single-digit divisor and quotient. | Examples: 8 ÷ 2 = □; 20 ÷ 5 = □; 36 ÷ 9 = □",Low,0.265,
3,Write a multiplication equation that represents an array.,CCSS.MATH.CONTENT.3.OA.A.1+3,Skill: Fractions | Grade: 3 | Sequence 1: Reading and writing mixed numerals | Examples: Write two and one-third; Write four and two-fifths; Write six and one-half; Read these numerals: 2 1/3; Read these numerals: 4 2/5 | Sequence 2: Writing a fraction as an equivalent to one whole group | Examples: 4/4 =; 3/3 =,Low,0.217,
3,Represent a product of whole numbers as repeated addition.,CCSS.MATH.CONTENT.3.OA.A.1+2,"Skill: Addition | Grade: 3 | Sequence 1: Adding three, four, or five multi-digit numbers; renaming in all or some columns totaling 20 or more | Examples: 892 + 1486 + 38 + 286 + 35; 8 + 4086 + 85 + 193 + 242; 3856 + 2488 + 1932 + 1583 | Visual Aids: Columnar addition format",Very Low,0.178,
3,Solve multiplication facts.,CCSS.MATH.CONTENT.3.OA.A.1+5,Skill: Multiplication | Grade: 3 | Sequence 1: One digit times one digit | Examples: 2 × 7 =; 9 × 3 =; 5 × 6 = | Sequence 2: Missing factor multiplication; both factors are one-digit numbers | Examples: 2×□ = 8; 5×□ = 10; 9×□ = 36 | Sequence 3: One-digit factor times two-digit factor; no renaming | Examples: 43 × 2; 31 × 5; 32 × 4 | Visual Aids: Problems presented in vertical format | Sequence 4: One-digit factor times two-digit factor; renaming | Examples: 35 × 5; 43 × 9; 17 × 2 | Visual Aids: Problems presented in vertical format,Very Low,0.079,
3,Solve real-world multiplication problems.,CCSS.MATH.CONTENT.3.OA.A.1+4,Skill: Multiplication | Grade: 3 | Sequence 1: One digit times one digit | Examples: 2 × 7 =; 9 × 3 =; 5 × 6 = | Sequence 2: Missing factor multiplication; both factors are one-digit numbers | Examples: 2×□ = 8; 5×□ = 10; 9×□ = 36 | Sequence 3: One-digit factor times two-digit factor; no renaming | Examples: 43 × 2; 31 × 5; 32 × 4 | Visual Aids: Problems presented in vertical format | Sequence 4: One-digit factor times two-digit factor; renaming | Examples: 35 × 5; 43 × 9; 17 × 2 | Visual Aids: Problems presented in vertical format,Very Low,0.141,
3,Relate division to equal groups.,CCSS.MATH.CONTENT.3.OA.A.1+6,"Skill: Division | Grade: 3 | Sequence 1: One-digit divisor and one-digit quotient; no remainder. | Examples: 3)15; 2)12; 5)20 | Visual Aids: Picture of objects to be grouped into smaller, equal sets.; Array of objects aligned in equal rows and columns. | Sequence 2: One-digit divisor and quotient with remainder. | Examples: 5)38; 2)9; 5)22 | Sequence 3: Division equation with ÷ sign; no remainder; single-digit divisor and quotient. | Examples: 8 ÷ 2 = □; 20 ÷ 5 = □; 36 ÷ 9 = □",Low,0.217,
3,"Understand division as the process of sharing or grouping by solving division problems using counters, drawings, or arrays.",CCSS.MATH.CONTENT.3.OA.A.2+1,Skill: Data Analysis | Grade: 3 | Sequence 1: Represent a data set with several categories using scaled picture and bar graphs | Visual Aids: Scaled picture graph with several categories; Scaled bar graph with several categories | Sequence 2: Solve one- and two-step problems using information presented in scaled picture and bar graphs | Examples: How many students choose blue or orange as their favorite color? Is this more or less than the number of students who choose green as their favorite color?; Which group is greater: the number of students who chose orange or pink as their favorite color or the number of students who chose black or green? | Visual Aids: Scaled picture graph; Scaled bar graph | Sequence 3: Represent data on a line plot using a scale of less than 1 | Visual Aids: Line plot with scale to the nearest 1/4 inch; Line plot with scale to the nearest 1/2 inch,Low,0.219,
3,Write a division equation that represents an equal sets of objects.,CCSS.MATH.CONTENT.3.OA.A.2+3,"Skill: Division | Grade: 3 | Sequence 1: One-digit divisor and one-digit quotient; no remainder. | Examples: 3)15; 2)12; 5)20 | Visual Aids: Picture of objects to be grouped into smaller, equal sets.; Array of objects aligned in equal rows and columns. | Sequence 2: One-digit divisor and quotient with remainder. | Examples: 5)38; 2)9; 5)22 | Sequence 3: Division equation with ÷ sign; no remainder; single-digit divisor and quotient. | Examples: 8 ÷ 2 = □; 20 ÷ 5 = □; 36 ÷ 9 = □",Low,0.324,
3,Write a division equation that represents an array.,CCSS.MATH.CONTENT.3.OA.A.2+2,Skill: Fractions | Grade: 3 | Sequence 1: Reading and writing mixed numerals | Examples: Write two and one-third; Write four and two-fifths; Write six and one-half; Read these numerals: 2 1/3; Read these numerals: 4 2/5 | Sequence 2: Writing a fraction as an equivalent to one whole group | Examples: 4/4 =; 3/3 =,Low,0.217,
3,Write a multiplication or division equation to represent an array.,CCSS.MATH.CONTENT.3.OA.A.2+4,Skill: Fractions | Grade: 3 | Sequence 1: Reading and writing mixed numerals | Examples: Write two and one-third; Write four and two-fifths; Write six and one-half; Read these numerals: 2 1/3; Read these numerals: 4 2/5 | Sequence 2: Writing a fraction as an equivalent to one whole group | Examples: 4/4 =; 3/3 =,Very Low,0.194,
3,Understand division as an unknown-factor problem using arrays.,CCSS.MATH.CONTENT.3.OA.B.6+1,Skill: Multiplication | Grade: 3 | Sequence 1: One digit times one digit | Examples: 2 × 7 =; 9 × 3 =; 5 × 6 = | Sequence 2: Missing factor multiplication; both factors are one-digit numbers | Examples: 2×□ = 8; 5×□ = 10; 9×□ = 36 | Sequence 3: One-digit factor times two-digit factor; no renaming | Examples: 43 × 2; 31 × 5; 32 × 4 | Visual Aids: Problems presented in vertical format | Sequence 4: One-digit factor times two-digit factor; renaming | Examples: 35 × 5; 43 × 9; 17 × 2 | Visual Aids: Problems presented in vertical format,Low,0.208,
3,"Solve for the missing number in a multiplication context (e.g., ""2 groups of ____ equal 4, or ___ x 5 = 15"").",CCSS.MATH.CONTENT.3.OA.B.6+5,"Skill: Subtraction | Grade: 3 | Sequence 1: Subtracting a three- or four-digit number from a four-digit number; renaming from thousands to hundreds | Examples: 4689 - 1832; 5284 - 4631; 3481 - 1681 | Sequence 2: Subtracting a one-, two-, three-, or four-digit number from a four-digit number; renaming required in several columns | Examples: 5342 - 68; 6143 - 217; 5231 - 1658 | Sequence 3: Subtracting a two-, three-, or four-digit number from a four-digit number; a zero in either the tens or hundreds column | Examples: 4023 - 184; 5304 - 1211; 5304 - 418 | Sequence 4: Hundreds minus 1 facts | Examples: 700 - 1 = ?; 400 - 1 = ?; 800 - 1 = ? | Sequence 5: Subtracting a one-, two-, three-, or four-digit number from a four-digit number; a zero in the tens and hundreds column | Examples: 4000 - 1357; 2001 - 1453; 8000 - 4264 | Sequence 6: Subtracting a one-, two-, three-, or four-digit number from a four-digit number with zeros in the hundreds, tens, and ones columns | Examples: 1000 - 283; 1000 - 82; 1000 - 80",Low,0.211,
