grade,substandard_description,substandard_id,direct_instructions,match_confidence,similarity_score,llm_explanation
8,Evaluate values for variables for a given function.,CCSS.MATH.CONTENT.8.F.A.1+2,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Low,0.208,
8,Interpret points on a graph of a linear function.,CCSS.MATH.CONTENT.8.F.A.1+3,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.000,
8,Graph functions.,CCSS.MATH.CONTENT.8.F.A.3+1,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.000,
8,Solve real-world problems by writing and solving equations in one variable.,CCSS.MATH.CONTENT.8.EE.C.7.B+2,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.120,
8,Evaluate powers with negative or zero exponents by applying the rules for these cases.,CCSS.MATH.CONTENT.8.EE.A.1+1,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Low,0.210,
8,Identify the translation of a geomtetric figure.,CCSS.MATH.CONTENT.8.G.A.3+4,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.194,
8,"Multiply and divide powers with integer bases, following the appropriate exponent rules.",CCSS.MATH.CONTENT.8.EE.A.1+2,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Low,0.347,
8,Apply the power of a power rule to simplify expressions involving exponents.,CCSS.MATH.CONTENT.8.EE.A.1+3,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.132,
8,"Evaluate or simplify operations with exponents, including multiplication, division, and powers raised to other power.",CCSS.MATH.CONTENT.8.EE.A.1+4,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.107,
8,Identify and simplify equivalent expressions involving exponents using exponent rules.,CCSS.MATH.CONTENT.8.EE.A.1+6,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Low,0.230,
8,Convert between scientific and standard notation.,CCSS.MATH.CONTENT.8.EE.A.3+1,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Low,0.254,
8,Add or subtract two numbers that are in scientific notation.,CCSS.MATH.CONTENT.8.EE.A.4+2,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.066,
8,"Given two congruent figures, describe a sequence of rotations, reflections, and translations that exhibits the congruence between them.",CCSS.MATH.CONTENT.8.G.A.2+2,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Low,0.216,
8,Multiply or divide two numbers that are in scientific notation.,CCSS.MATH.CONTENT.8.EE.A.4+3,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.066,
8,Compare numbers in scientific notation.,CCSS.MATH.CONTENT.8.EE.A.4+4,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.093,
8,"Identify congruent figures, and use them to solve for missing sides and angles",CCSS.MATH.CONTENT.8.G.A.2+4,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Low,0.295,
8,"Identify similar figures, and use them to solve for missing sides and angles, and differentiate them from congruent figures.",CCSS.MATH.CONTENT.8.G.A.2+3,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Low,0.308,
8,Identify geometric transformations on a coordinate plane.,CCSS.MATH.CONTENT.8.G.A.2+1,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.000,
8,Identify the dilation of a geometric figure using a given scale factor and center of dilation on a coordinate plane.,CCSS.MATH.CONTENT.8.G.A.3+1,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.194,
8,Identify the reflection of a geomtetric figure.,CCSS.MATH.CONTENT.8.G.A.3+2,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.194,
8,Identify the rotation of a geomtetric figure.,CCSS.MATH.CONTENT.8.G.A.3+3,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.194,
8,Identify a mising angle in a triangle.,CCSS.MATH.CONTENT.8.G.A.5+1,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.000,
8,Intentify an angle exterior to a triangle.,CCSS.MATH.CONTENT.8.G.A.5+2,Skill: Pre-Algebra | Problem Type: Combining exponents | Sequence: 2,Very Low,0.042,
8,Understand the angle-angle criterion for similarity of triangles.,CCSS.MATH.CONTENT.8.G.A.5+3,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Low,0.237,
8,"Identify parts of two parallel lines cut by a transversal including vertical angle, alternate interior angles, alternate exterior angles.",CCSS.MATH.CONTENT.8.G.A.5+4,Skill: Pre-Algebra | Problem Type: Combining exponents | Sequence: 2,Very Low,0.043,
8,Solve problems involving relationships between the angles created by parallel lines cut by a transversal.,CCSS.MATH.CONTENT.8.G.A.5+5,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.119,
8,Identify whether or not a mathematical relation is a function.,CCSS.MATH.CONTENT.8.F.A.1+1,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.000,
8,Identify whether or not a function is linear.,CCSS.MATH.CONTENT.8.F.A.3+2,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.000,
8,"Identify whether a graph is increasing, decreasing or constant.",CCSS.MATH.CONTENT.8.F.B.4+1,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.000,
8,Sketch a graph that exhibits verbally described qualitative features.,CCSS.MATH.CONTENT.8.F.B.5+1,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Very Low,0.000,
8,Find the constant of proportionality.,CCSS.MATH.CONTENT.8.EE.B.5+1,Skill: Pre-Algebra | Problem Type: Name the base and the exponent from expanded notation examples and the reverse | Sequence: 1,Low,0.212,
