grade,substandard_id,substandard_description,format_number
3,CCSS.MATH.CONTENT.3.MD.C.6+1,Measure areas by counting unit squares.,4.5
3,CCSS.MATH.CONTENT.3.NBT.A.1+1,Round to the nearest 10 or 100 using the number line.,5.12
3,CCSS.MATH.CONTENT.3.NBT.A.1+2,Round to the nearest 10 or 100.,5.12
3,CCSS.MATH.CONTENT.3.NBT.A.3+1,Use place value understanding and operation properties to multiply single-digit numbers by 10 through 90 in multiples of 10.,5.7
3,CCSS.MATH.CONTENT.3.OA.C.7+1,Fluently multiply within 100.,6.3
3,CCSS.MATH.CONTENT.3.OA.B.5+1,Apply the commutative property of multiplication as a strategy to multiply whole numbers.,6.3
3,CCSS.MATH.CONTENT.3.OA.B.6+4,Relate multiplication and division facts.,6.4
3,CCSS.MATH.CONTENT.3.OA.B.6+2,Find a missing factor for a multiplication fact.,6.4
3,CCSS.MATH.CONTENT.3.OA.C.7+2,Fluently divide within 100.,6.4
3,CCSS.MATH.CONTENT.3.OA.A.3+2,Solve word problems involving two step multiplication.,7.2
3,CCSS.MATH.CONTENT.3.OA.D.9+9,Explain patterns in an arithmetic pattern.,7.2
3,CCSS.MATH.CONTENT.3.OA.D.8+2,Solve two-step word problems involving any combination of the four operations.,7.2
3,CCSS.MATH.CONTENT.3.MD.D.8+2,Solve word problems involving perimeters of polygons.,7.2
3,CCSS.MATH.CONTENT.3.MD.A.2+3,"Solve word problems involving the addition, subtraction, multiplication, or division of masses or volumes, with all measurements provided in the same unit",7.2
3,CCSS.MATH.CONTENT.3.OA.D.8+6,"Judge whether a given estimate in a two-step word problem (addition, subtraction, multiplication, or division) is reasonable, too high, or too low with reasoning.",7.2
3,CCSS.MATH.CONTENT.3.OA.D.9+3,Identify the rule for an addition or subtraction pattern.,7.3
3,CCSS.MATH.CONTENT.3.NBT.A.2+1,Fluently add within 1000 using strategies and algorithms based on place value and properties of operations.,7.6
3,CCSS.MATH.CONTENT.3.NBT.A.2+4,Add within 1000 using models.,7.6
3,CCSS.MATH.CONTENT.3.NBT.A.1+3,"Estimate sums and differences of whole numbers (≤ 1,000) by rounding each addend or subtrahend to the nearest ten or hundred.",8.2
3,CCSS.MATH.CONTENT.3.NBT.A.2+2,Fluently subtract within 1000 using strategies and algorithms based on place value and properties of operations.,8.5
3,CCSS.MATH.CONTENT.3.NBT.A.2+3,Solve word problems with addition and subtraction,8.5
3,CCSS.MATH.CONTENT.3.OA.B.5+4,Identify the properties of multiplication.,9.1
3,CCSS.MATH.CONTENT.3.OA.A.1+1,Write a multiplication equation that represents an equal sets of objects.,9.1
3,CCSS.MATH.CONTENT.3.OA.B.5+2,Apply the associative property of multiplication as a strategy to multiply whole numbers.,9.1
3,CCSS.MATH.CONTENT.3.OA.A.1+4,Solve real-world multiplication problems.,9.1
3,CCSS.MATH.CONTENT.3.OA.A.1+5,Solve multiplication facts.,9.1
3,CCSS.MATH.CONTENT.3.OA.A.1+2,Represent a product of whole numbers as repeated addition.,9.1
3,CCSS.MATH.CONTENT.3.MD.C.7.A+1,"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths",9.1
3,CCSS.MATH.CONTENT.3.OA.A.1+3,Write a multiplication equation that represents an array.,9.1
3,CCSS.MATH.CONTENT.3.OA.A.3+1,Use multiplication and division within 100 to solve word problems.,9.2
3,CCSS.MATH.CONTENT.3.OA.B.6+1,Understand division as an unknown-factor problem using arrays.,9.2
3,CCSS.MATH.CONTENT.3.OA.D.9+1,"Given a rule, create numbers in a multiplication pattern.",9.2
3,CCSS.MATH.CONTENT.3.OA.D.9+7,Identify the rule for a multiplication pattern.,9.2
3,CCSS.MATH.CONTENT.3.OA.B.6+5,"Solve for the missing number in a multiplication context (e.g., ""2 groups of ____ equal 4, or ___ x 5 = 15"").",9.2
3,CCSS.MATH.CONTENT.3.OA.A.4+1,Determine the unknown whole number in a multiplication or division equation relating three whole numbers.,9.2
3,CCSS.MATH.CONTENT.3.OA.B.5+3,Apply the distributive property as a strategy to multiply and divide whole numbers.,9.3
3,CCSS.MATH.CONTENT.3.OA.B.6+3,Solve division facts.,10.1
3,CCSS.MATH.CONTENT.3.OA.A.2+1,"Understand division as the process of sharing or grouping by solving division problems using counters, drawings, or arrays.",10.2
3,CCSS.MATH.CONTENT.3.OA.A.2+3,Write a division equation that represents an equal sets of objects.,10.2
3,CCSS.MATH.CONTENT.3.OA.A.1+6,Relate division to equal groups.,10.2
3,CCSS.MATH.CONTENT.3.OA.D.8+5,Solve two-step word problems involving multiplication and division.,10.2
3,CCSS.MATH.CONTENT.3.OA.A.2+4,Write a multiplication or division equation to represent an array.,10.2
3,CCSS.MATH.CONTENT.3.OA.A.2+2,Write a division equation that represents an array.,10.2
